feature,mean_abs_shap
C13,0.55118823
TransactionAmt,0.47840965
C1,0.3837527
C14,0.33596814
fe_card1_count_so_far,0.31290308
fe_hour_sin,0.30117178
card1,0.2845233
fe_dayofweek,0.27575955
fe_card1_addr1_amt_count,0.27291372
V70,0.26704898
fe_card1_addr1_amt_mean,0.26628116
fe_card1_P_emaildomain_amt_count,0.25894794
C11,0.25086522
fe_amount_decimal,0.24636766
fe_card1_amt_count,0.24266599
V258,0.23363492
fe_card1_addr1_amt_std,0.2232178
fe_card1_secs_since_prev,0.21382716
fe_addr1_amt_count,0.21350215
D1,0.2089492
fe_card1_P_emaildomain_amt_mean,0.20827803
D15,0.20678446
fe_card2_amt_count,0.20350397
fe_card1_amt_mean,0.20294052
addr1,0.20016412
